job_role,skill
tableau specialist,analytics
tableau specialist,dashboard design
tableau specialist,communication
salesforce developer,salesforce
salesforce developer,apex
salesforce developer,visualforce
salesforce developer,lightning
salesforce developer,crm
salesforce developer,problem solving
salesforce administrator,salesforce
salesforce administrator,administration
salesforce administrator,configuration
salesforce administrator,user management
salesforce administrator,data management
salesforce administrator,support
sap developer,sap
sap developer,abap
sap developer,enterprise systems
sap developer,sql
sap developer,problem solving
sap developer,configuration
oracle applications developer,oracle apps
oracle applications developer,pl/sql
oracle applications developer,erp systems
oracle applications developer,sql
oracle applications developer,problem solving
oracle applications developer,configuration
shopify developer,shopify
shopify developer,liquid
shopify developer,javascript
shopify developer,api integration
shopify developer,e-commerce
shopify developer,problem solving
wordpress developer,wordpress
wordpress developer,php
wordpress developer,javascript
wordpress developer,css
wordpress developer,plugin development
wordpress developer,theme development
drupal developer,drupal
drupal developer,php
drupal developer,javascript
drupal developer,mysql
drupal developer,theme development
drupal developer,module development
magento developer,magento
magento developer,php
magento developer,javascript
magento developer,e-commerce
magento developer,mysql
magento developer,problem solving
joomla developer,joomla
joomla developer,php
joomla developer,javascript
joomla developer,cms
joomla developer,mysql
joomla developer,theme development
cybersecurity analyst,threat analysis
cybersecurity analyst,vulnerability assessment
cybersecurity analyst,security systems
cybersecurity analyst,log analysis
cybersecurity analyst,incident response
cybersecurity analyst,risk assessment
ethical hacker,penetration testing
ethical hacker,hacking tools
ethical hacker,networking
ethical hacker,security
ethical hacker,problem solving
ethical hacker,vulnerability research
soc analyst,siem
soc analyst,threat detection
soc analyst,incident response
soc analyst,log analysis
soc analyst,security protocols
soc analyst,communication
privacy officer,privacy law
privacy officer,gdpr
privacy officer,compliance
privacy officer,risk management
privacy officer,communication
privacy officer,strategic planning
compliance officer,compliance
compliance officer,regulations
compliance officer,auditing
compliance officer,risk management
compliance officer,documentation
compliance officer,communication
it help desk technician,technical support
it help desk technician,troubleshooting
it help desk technician,hardware
it help desk technician,software
it help desk technician,customer service
it help desk technician,communication
it field technician,hardware installation
it field technician,troubleshooting
it field technician,networking
it field technician,customer service
it field technician,problem solving
it field technician,documentation
website administrator,website management
website administrator,cms
website administrator,server administration
website administrator,html/css
website administrator,database management
website administrator,troubleshooting
technical writer,technical writing
technical writer,documentation
technical writer,api documentation
technical writer,communication
technical writer,organization
technical writer,problem solving
solutions engineer,technical problem solving
solutions engineer,solution design
solutions engineer,communication
solutions engineer,customer relations
solutions engineer,product knowledge
solutions engineer,presentation
pre-sales engineer,sales engineering
pre-sales engineer,technical knowledge
pre-sales engineer,communication
pre-sales engineer,product demonstration
pre-sales engineer,problem solving
pre-sales engineer,client relations
technical account manager,account management
technical account manager,technical knowledge
technical account manager,communication
technical account manager,problem solving
technical account manager,client relations
technical account manager,product knowledge
release manager,release management
release manager,project management
release manager,change control
release manager,documentation
release manager,communication
release manager,problem solving
it project manager,project management
it project manager,it knowledge
it project manager,leadership
it project manager,budget control
it project manager,communication
it project manager,problem solving
scrum master,scrum
scrum master,agile
scrum master,coaching
scrum master,team leadership
scrum master,problem solving
scrum master,communication
product owner,product strategy
product owner,agile
product owner,backlog management
product owner,communication
product owner,leadership
product owner,business acumen
academic data analyst,statistical analysis
academic data analyst,research
academic data analyst,python
academic data analyst,r
academic data analyst,academic writing
academic data analyst,problem solving
clinical data manager,clinical data
clinical data manager,regulatory compliance
clinical data manager,database management
clinical data manager,statistical analysis
clinical data manager,problem solving
clinical data manager,attention to detail
biomedical engineer,biomedical systems
biomedical engineer,medical devices
biomedical engineer,cad
biomedical engineer,problem solving
biomedical engineer,regulatory knowledge
biomedical engineer,technical design
software test engineer,test automation
software test engineer,manual testing
software test engineer,problem solving
software test engineer,selenium
software test engineer,api testing
software test engineer,documentation
performance tester,performance testing
performance tester,load testing
performance tester,jmeter
performance tester,analysis
performance tester,problem solving
performance tester,reporting
security tester,security testing
security tester,vulnerability testing
security tester,problem solving
security tester,security tools
security tester,risk assessment
security tester,reporting
retail manager,sales management
retail manager,customer service
retail manager,inventory control
retail manager,staff leadership
retail manager,cash handling
retail manager,problem solving
store manager,store management
store manager,sales
store manager,staff management
store manager,inventory
store manager,customer relations
store manager,problem solving
visual merchandiser,visual design
visual merchandiser,creativity
visual merchandiser,lighting
visual merchandiser,arrangement
visual merchandiser,sales
visual merchandiser,customer service
loss prevention manager,security
loss prevention manager,surveillance
loss prevention manager,investigation
loss prevention manager,problem solving
loss prevention manager,leadership
loss prevention manager,communication
cashier,cash handling
cashier,customer service
cashier,point of sale
cashier,accuracy
cashier,communication
cashier,friendliness
sales associate,sales
sales associate,customer service
sales associate,product knowledge
sales associate,communication
sales associate,problem solving
sales associate,teamwork
retail supervisor,supervision
retail supervisor,sales
retail supervisor,customer service
retail supervisor,inventory
retail supervisor,staff training
retail supervisor,problem solving
electrician,electrical work
electrician,safety
electrician,problem solving
electrician,technical knowledge
electrician,code knowledge
electrician,troubleshooting
plumber,plumbing systems
plumber,safety
plumber,problem solving
plumber,technical knowledge
plumber,code knowledge
plumber,customer service
carpenter,carpentry
carpenter,safety
carpenter,technical skills
carpenter,problem solving
carpenter,hand tools
carpenter,precision
hvac technician,hvac systems
hvac technician,troubleshooting
hvac technician,safety
hvac technician,technical knowledge
hvac technician,equipment
hvac technician,problem solving
welder,welding
welder,safety
welder,precision
welder,technical knowledge
welder,problem solving
welder,physical stamina
heavy equipment operator,equipment operation
heavy equipment operator,safety
heavy equipment operator,problem solving
heavy equipment operator,precision
heavy equipment operator,attention to detail
heavy equipment operator,communication
cnc machinist,cnc machines
cnc machinist,precision
cnc machinist,technical knowledge
cnc machinist,problem solving
cnc machinist,safety
cnc machinist,attention to detail
mechanic,vehicle mechanics
mechanic,troubleshooting
mechanic,problem solving
mechanic,equipment knowledge
mechanic,safety
mechanic,attention to detail
diesel mechanic,diesel engines
diesel mechanic,troubleshooting
diesel mechanic,technical skills
diesel mechanic,safety
diesel mechanic,problem solving
diesel mechanic,equipment knowledge
head chef,culinary skills
head chef,kitchen management
head chef,leadership
head chef,recipe development
head chef,food safety
head chef,creativity
sous chef,culinary skills
sous chef,kitchen management
sous chef,leadership
sous chef,training
sous chef,food safety
sous chef,creativity
line cook,cooking
line cook,food safety
line cook,kitchen skills
line cook,speed
line cook,accuracy
line cook,teamwork
pastry chef,baking
pastry chef,decoration
pastry chef,creativity
pastry chef,precision
pastry chef,food safety
pastry chef,time management
bartender,bartending
bartender,customer service
bartender,communication
bartender,memory
bartender,team work
bartender,problem solving
server,customer service
server,communication
server,memory
server,organization
server,problem solving
server,teamwork
hairstylist,hair styling
hairstylist,customer service
hairstylist,creativity
hairstylist,technical skills
hairstylist,communication
hairstylist,precision
makeup artist,makeup application
makeup artist,creativity
makeup artist,color theory
makeup artist,communication
makeup artist,technical skills
makeup artist,customer service
nail technician,nail care
nail technician,artistry
nail technician,customer service
nail technician,precision
nail technician,sanitation
nail technician,communication
esthetician,skincare
esthetician,facial treatment
esthetician,customer service
esthetician,product knowledge
esthetician,communication
esthetician,technical skills
massage therapist,massage therapy
massage therapist,anatomy
massage therapist,customer service
massage therapist,communication
massage therapist,problem solving
massage therapist,empathy
farmer,farming
farmer,equipment operation
farmer,problem solving
farmer,sustainability
farmer,business management
farmer,safety
farm manager,farm management
farm manager,crop knowledge
farm manager,equipment
farm manager,leadership
farm manager,business acumen
farm manager,sustainability
livestock manager,livestock care
livestock manager,health knowledge
livestock manager,equipment
livestock manager,problem solving
livestock manager,leadership
livestock manager,business skills
dairy manager,dairy operations
dairy manager,animal health
dairy manager,equipment
dairy manager,quality control
dairy manager,leadership
dairy manager,problem solving
park ranger,conservation
park ranger,public safety
park ranger,environmental knowledge
park ranger,communication
park ranger,outdoor skills
park ranger,problem solving
wildlife biologist,wildlife biology
wildlife biologist,research
wildlife biologist,data analysis
wildlife biologist,field work
wildlife biologist,problem solving
wildlife biologist,communication
conservation officer,conservation
conservation officer,law enforcement
conservation officer,environmental knowledge
conservation officer,problem solving
conservation officer,communication
conservation officer,safety
bus driver,driving
bus driver,safety
bus driver,customer service
bus driver,route knowledge
bus driver,problem solving
bus driver,responsibility
taxi driver,driving
taxi driver,navigation
taxi driver,customer service
taxi driver,problem solving
taxi driver,safety
taxi driver,communication
ship captain,navigation
ship captain,leadership
ship captain,maritime law
ship captain,safety
ship captain,problem solving
ship captain,technical knowledge
deck officer,navigation
deck officer,maritime knowledge
deck officer,safety
deck officer,technical skills
deck officer,leadership
deck officer,problem solving
crane operator,crane operation
crane operator,safety
crane operator,precision
crane operator,problem solving
crane operator,communication
crane operator,attention to detail
police officer,law enforcement
police officer,safety
police officer,problem solving
police officer,communication
police officer,physical fitness
police officer,judgment
security guard,security
security guard,awareness
security guard,communication
security guard,problem solving
security guard,safety
security guard,responsibility
firefighter,fire fighting
firefighter,safety
firefighter,physical fitness
firefighter,problem solving
firefighter,teamwork
firefighter,quick thinking
military officer,leadership
military officer,strategic planning
military officer,safety
military officer,communication
military officer,problem solving
military officer,discipline
detective,investigation
detective,analysis
detective,problem solving
detective,communication
detective,attention to detail
detective,judgment
geologist,geology
geologist,field work
geologist,analysis
geologist,research
geologist,problem solving
geologist,technical knowledge
meteorologist,meteorology
meteorologist,weather analysis
meteorologist,research
meteorologist,data analysis
meteorologist,problem solving
meteorologist,communication
microbiologist,microbiology
microbiologist,laboratory work
microbiologist,research
microbiologist,data analysis
microbiologist,problem solving
microbiologist,precision
botanist,plant science
botanist,field work
botanist,research
botanist,data analysis
botanist,problem solving
botanist,communication
news anchor,communication
news anchor,presentation
news anchor,writing
news anchor,research
news anchor,critical thinking
news anchor,on-camera skills
radio host,public speaking
radio host,communication
radio host,improvisation
radio host,interviewing
radio host,problem solving
radio host,personality
sports commentator,sports knowledge
sports commentator,public speaking
sports commentator,communication
sports commentator,enthusiasm
sports commentator,quick thinking
sports commentator,writing
announcer,public speaking
announcer,voice skills
announcer,pronunciation
announcer,communication
announcer,professionalism
announcer,quick thinking
athlete,athletic ability
athlete,training discipline
athlete,teamwork
athlete,mental toughness
athlete,performance
athlete,fitness
sports agent,sales
sports agent,negotiation
sports agent,sports knowledge
sports agent,communication
sports agent,business acumen
sports agent,networking
athletic trainer,athletic training
athletic trainer,first aid
athletic trainer,sports knowledge
athletic trainer,communication
athletic trainer,problem solving
athletic trainer,empathy
librarian,information management
librarian,research
librarian,organization
librarian,communication
librarian,customer service
librarian,technology
archivist,archives management
archivist,organization
archivist,preservation
archivist,research
archivist,documentation
archivist,problem solving
museum curator,curation
museum curator,art knowledge
museum curator,research
museum curator,communication
museum curator,problem solving
museum curator,management
conservator,conservation
conservator,restoration
conservator,technical skills
conservator,precision
conservator,research
conservator,problem solving
exhibition designer,exhibition design
exhibition designer,creativity
exhibition designer,technical skills
exhibition designer,communication
exhibition designer,problem solving
exhibition designer,project management
veterinarian,veterinary medicine
veterinarian,animal care
veterinarian,diagnosis
veterinarian,communication
veterinarian,compassion
veterinarian,problem solving
veterinary technician,veterinary care
veterinary technician,animal handling
veterinary technician,technical skills
veterinary technician,communication
veterinary technician,compassion
veterinary technician,safety
