Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category
r000605,"Education: Oracle Certification Experience: 1 years Skills: Web Design, Problem Solving, Configuration, PL/SQL, ERP Systems, Flutter, Go, User Interface",oracle certification,1,web design|problem solving|configuration|pl/sql|erp systems|flutter|go|user interface|sql|oracle apps|strategic planning,oracle applications developer,technology
r000606,"Education: Associate in Broadcast Technology Experience: 1 years Skills: Attention to Detail, Equipment Operation, Broadcasting, Technical Knowledge, Security Protocols, Flask, Safety, Troubleshooting",associate in broadcast technology,1,attention to detail|equipment operation|broadcasting|technical knowledge|security protocols|flask|safety|troubleshooting|c++,broadcast technician,entertainment & media
r000607,"Education: Bachelor's in Electronics Engineering Experience: 2 years Skills: Low-level Programming, iOS, C/C++, Embedded Linux, Microservices, Microcontrollers, Real-time Systems, Hardware",bachelor's in electronics engineering,2,low-level programming|ios|c/c++|embedded linux|microservices|microcontrollers|real-time systems|hardware,embedded systems engineer,engineering & manufacturing
r000608,"Education: Master's in Business Experience: 5 years Skills: Kubernetes, Pandas, Non-profit Leadership, Fundraising, Budget Management, Strategic Planning, Scikit-learn, Vision",master's in business,5,kubernetes|pandas|non-profit leadership|fundraising|budget management|strategic planning|scikit-learn|vision|user interface|communication,non-profit director,non-profit & charity
r000609,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Documentation, Agile, Problem Solving, API Testing, Manual Testing, Django, Selenium, Test Automation",bachelor's in computer science,4,documentation|agile|problem solving|api testing|manual testing|django|selenium|test automation,software test engineer,technology
r000610,"Education: Bachelor's in Computer Science Experience: 1 years Skills: Caching, Performance Optimization, Business Development, Scalability, Kubernetes, PostgreSQL, Prototyping, Redis",bachelor's in computer science,1,caching|performance optimization|business development|scalability|kubernetes|postgresql|prototyping|redis|ruby|data structures|pub/sub,redis developer,technology
r000611,"Education: Bachelor's in Marketing Experience: 1 years Skills: Communication, Product Knowledge, Client Relationships, CRM, Security Protocols, Negotiation, Selling, Redis",bachelor's in marketing,1,communication|product knowledge|client relationships|crm|security protocols|negotiation|selling|redis,sales executive,marketing & sales
r000612,"Education: Bachelor's in HR Experience: 3 years Skills: eLearning, User Experience, Assessment, Teamwork, Instructional Design, Communication, GraphQL, SQL",bachelor's in hr,3,elearning|user experience|assessment|teamwork|instructional design|communication|graphql|sql|presentation|training program development,training specialist,human resources
r000613,"Education: Bachelor's in IT Experience: 3 years Skills: Looker, Scikit-learn, Data Visualization, LookML, Analytics, SQL, Serverless, Dashboard Development",bachelor's in it,3,looker|scikit-learn|data visualization|lookml|analytics|sql|serverless|dashboard development,looker developer,data & analytics
r000614,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Test Automation, Business Acumen, API Testing, Documentation, Selenium, Market Research, Manual Testing, Problem Solving",bachelor's in computer science,2,test automation|business acumen|api testing|documentation|selenium|market research|manual testing|problem solving,software test engineer,technology
r000615,"Education: Master's in Business Experience: 9 years Skills: Operations Management, Decision Making, Cassandra, Business Operations, Leadership, Strategic Thinking, Communication, R",master's in business,9,operations management|decision making|cassandra|business operations|leadership|strategic thinking|communication|r,coo,private sector management
r000616,"Education: Master's in Microbiology Experience: 1 years Skills: Data Analysis, Flutter, Microbiology, Android, TypeScript, Responsive Design, Project Management, Problem Solving",master's in microbiology,1,data analysis|flutter|microbiology|android|typescript|responsive design|project management|problem solving|precision|research|laboratory work,microbiologist,science & research
r000617,"Education: Bachelor's in Athletic Training Experience: 3 years Skills: TypeScript, Athletic Training, First Aid, Business Development, Communication, Azure, Compliance, Empathy",bachelor's in athletic training,3,typescript|athletic training|first aid|business development|communication|azure|compliance|empathy|graphql|sports knowledge|problem solving,athletic trainer,sports & athletics
r000618,"Education: Bachelor's in IT Experience: 4 years Skills: Budget Management, Windows Server, Business Acumen, Troubleshooting, Active Directory, Networking, Wireframing, Security",bachelor's in it,4,budget management|windows server|business acumen|troubleshooting|active directory|networking|wireframing|security|linux,systems administrator,technology
r000619,"Education: Bachelor's in IT Experience: 1 years Skills: Qlik Sense, Pandas, Data Visualization, Analytics, Problem Solving, Oracle, SQL, Qlik View",bachelor's in it,1,qlik sense|pandas|data visualization|analytics|problem solving|oracle|sql|qlik view|dashboard development,qlik developer,data & analytics
r000620,"Education: IT Certification Experience: 4 years Skills: Teamwork, Statistics, Linux, React Native, SQL, Backup Recovery, Oracle, Security",it certification,4,teamwork|statistics|linux|react native|sql|backup recovery|oracle|security|serverless|database optimization|mongodb,database administrator,technology
r000621,"Education: Bachelor's in Computer Engineering Experience: 4 years Skills: Teamwork, C/C++, Sensors, System Design, Networking, Embedded Systems, Adaptability, IoT Technology",bachelor's in computer engineering,4,teamwork|c/c++|sensors|system design|networking|embedded systems|adaptability|iot technology|time management,iot engineer,technology
r000622,"Education: Trade School Experience: 1 years Skills: Carpentry, Technical Skills, Hand Tools, Precision, Pandas, Safety, Time Management, Problem Solving",trade school,1,carpentry|technical skills|hand tools|precision|pandas|safety|time management|problem solving,carpenter,skilled trades
r000623,"Education: Bachelor's in Nursing Experience: 0 years Skills: Business Acumen, Communication, Patient Care, Critical Thinking, Attention to Detail, Compassion, GCP, Medical Knowledge",bachelor's in nursing,0,business acumen|communication|patient care|critical thinking|attention to detail|compassion|gcp|medical knowledge|c++,nurse,healthcare
r000624,"Education: Bachelor's in Design Experience: 1 years Skills: Project Management, Problem Solving, Technical Skills, Creativity, Exhibition Design, Communication, Jira, Tableau",bachelor's in design,1,project management|problem solving|technical skills|creativity|exhibition design|communication|jira|tableau,exhibition designer,arts & culture
r000625,"Education: Training Certification Experience: 6 years Skills: PHP, Program Design, Evaluation, Confluence, Communication, Penetration Testing, Curriculum Development, Instruction",training certification,6,php|program design|evaluation|confluence|communication|penetration testing|curriculum development|instruction|documentation|leadership|html,training manager,education & training
r000626,"Education: Bachelor's in Animation Experience: 0 years Skills: TypeScript, Creativity, Storytelling, Technical Skills, Timing, Power BI, Sales, Data Analysis",bachelor's in animation,0,typescript|creativity|storytelling|technical skills|timing|power bi|sales|data analysis|animation software|drawing,animator,creative & design
r000627,"Education: Master's in Business Experience: 6 years Skills: Sales, Security Architecture, Business Development Strategy, Negotiation, Market Analysis, Python, Communication, Networking",master's in business,6,sales|security architecture|business development strategy|negotiation|market analysis|python|communication|networking,business development manager,marketing & sales
r000628,"Education: Master's in Business Experience: 10 years Skills: Communication, Vision, Technical Writing, Encryption, Department Management, Decision Making, Strategic Leadership, C#",master's in business,10,communication|vision|technical writing|encryption|department management|decision making|strategic leadership|c#|adaptability|business development,vice president,private sector management
r000629,"Education: Bachelor's in Business Experience: 1 years Skills: Product Strategy, Positioning, Analytics, Market Research, Java, Web Design, CloudFormation, Campaign Management",bachelor's in business,1,product strategy|positioning|analytics|market research|java|web design|cloudformation|campaign management|mongodb|messaging,product marketing manager,marketing & sales
r000630,"Education: High School Experience: 0 years Skills: Technical Writing, Organization, TensorFlow, Administrative Skills, Typing, Attention to Detail, Legal Knowledge, Communication",high school,0,technical writing|organization|tensorflow|administrative skills|typing|attention to detail|legal knowledge|communication,legal secretary,legal services
r000631,"Education: Bachelor's in Computer Science Experience: 3 years Skills: SQL, Apache Spark, Business Development, Scala, Jira, Functional Programming, Problem Solving, User Experience",bachelor's in computer science,3,sql|apache spark|business development|scala|jira|functional programming|problem solving|user experience|big data,scala developer,technology
r000632,"Education: Radiography License Experience: 2 years Skills: Communication, Imaging Technology, Statistics, Radiation Safety, Technical Skills, Financial Analysis, Attention to Detail, SEO",radiography license,2,communication|imaging technology|statistics|radiation safety|technical skills|financial analysis|attention to detail|seo|network security|patient care|business acumen,radiographer,healthcare
r000633,"Education: Bachelor's in English Experience: 0 years Skills: Vue.js, Pandas, Communication, Creativity, SEO Knowledge, MySQL, Writing, Brand Voice",bachelor's in english,0,vue.js|pandas|communication|creativity|seo knowledge|mysql|writing|brand voice|react native|research|marketing,copywriter,creative & design
r000634,"Education: Portfolio Experience: 1 years Skills: Client Service, Business Acumen, Photography, Adobe Creative Suite, Azure, Creativity, TensorFlow, Lighting",portfolio,1,client service|business acumen|photography|adobe creative suite|azure|creativity|tensorflow|lighting|editing software|composition,photographer,creative & design
r000635,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Problem Solving, Communication, Technical Knowledge, Account Management, Product Knowledge, Database Design, React Native, Client Relations",bachelor's in computer science,3,problem solving|communication|technical knowledge|account management|product knowledge|database design|react native|client relations,technical account manager,technology
r000636,"Education: IT Certification Experience: 3 years Skills: Troubleshooting, Scrum, Technical Knowledge, Communication, Patience, Customer Service, Problem Solving, Microservices",it certification,3,troubleshooting|scrum|technical knowledge|communication|patience|customer service|problem solving|microservices,technical support specialist,sales & customer service
r000637,"Education: Master's or PhD in Psychology Experience: 5 years Skills: Node.js, Mobile Security, Counseling, TensorFlow, Research, Empathy, Market Research, Psychological Assessment",master's or phd in psychology,5,node.js|mobile security|counseling|tensorflow|research|empathy|market research|psychological assessment|patient communication|risk assessment|critical thinking,psychologist,healthcare
r000638,"Education: High School Experience: 3 years Skills: Problem Solving, Negotiation, Mobile Security, Marketing, Communication, Customer Service, Product Knowledge, Attention to Detail",high school,3,problem solving|negotiation|mobile security|marketing|communication|customer service|product knowledge|attention to detail|adaptability|patience|flutter,customer service representative,sales & customer service
r000639,"Education: Bachelor's in Operations Management Experience: 6 years Skills: Data Analysis, Quality Control, Efficiency Optimization, Leadership, GraphQL, Project Management, Process Management, Java",bachelor's in operations management,6,data analysis|quality control|efficiency optimization|leadership|graphql|project management|process management|java,operations manager,operations & supply chain
r000640,"Education: Master's in Public Policy Experience: 4 years Skills: Deep Learning, CloudFormation, MongoDB, App Testing, Policy Expertise, Analysis, Strategic Thinking, Writing",master's in public policy,4,deep learning|cloudformation|mongodb|app testing|policy expertise|analysis|strategic thinking|writing|communication|research,policy advisor,government & public service
r000641,"Education: MBA Experience: 3 years Skills: Environmental Knowledge, Django, Presentation Skills, Problem Solving, Communication, Sustainability Strategy, Business Acumen, Analysis",mba,3,environmental knowledge|django|presentation skills|problem solving|communication|sustainability strategy|business acumen|analysis,sustainability consultant,environmental
r000642,"Education: Bachelor's in English Experience: 0 years Skills: API Documentation, Financial Analysis, PyTorch, Documentation, Technical Writing, Organization, Problem Solving, Communication",bachelor's in english,0,api documentation|financial analysis|pytorch|documentation|technical writing|organization|problem solving|communication,technical writer,technology
r000643,"Education: HVAC Certification Experience: 1 years Skills: Scikit-learn, Problem Solving, Technical Knowledge, Troubleshooting, Rust, Equipment, Safety, HVAC Systems",hvac certification,1,scikit-learn|problem solving|technical knowledge|troubleshooting|rust|equipment|safety|hvac systems,hvac technician,skilled trades
r000644,"Education: Master's in Computer Science Experience: 6 years Skills: Scalability, Marketing, System Design, CSS, Architecture Patterns, Multiple Languages, Leadership, Microservices",master's in computer science,6,scalability|marketing|system design|css|architecture patterns|multiple languages|leadership|microservices,software architect,technology
r000645,"Education: Bachelor's in IT Experience: 5 years Skills: Data Integration, Data Quality, Node.js, Problem Solving, SQL, REST API, Performance, ETL Tools",bachelor's in it,5,data integration|data quality|node.js|problem solving|sql|rest api|performance|etl tools,etl developer,data & analytics
r000646,"Education: Bachelor's in Computer Science Experience: 2 years Skills: API Development, C#, Symfony, HTML/CSS, Swift, PHP, Laravel, MySQL",bachelor's in computer science,2,api development|c#|symfony|html/css|swift|php|laravel|mysql|negotiation|project management|android,php developer,technology
r000647,"Education: Bachelor's in Aerospace Engineering Experience: 4 years Skills: Design, Scala, Business Acumen, Vue.js, Physics, MATLAB, CAD, Strategic Planning",bachelor's in aerospace engineering,4,design|scala|business acumen|vue.js|physics|matlab|cad|strategic planning|aerodynamics|structural analysis,aerospace engineer,engineering & manufacturing
r000648,"Education: High School Experience: 3 years Skills: Communication, Leadership, Management, Database Design, Business Acumen, Fitness Industry Knowledge, Sales, Customer Service",high school,3,communication|leadership|management|database design|business acumen|fitness industry knowledge|sales|customer service,fitness manager,sports & recreation
r000649,"Education: Trade School Experience: 3 years Skills: Attention to Detail, Troubleshooting, Problem Solving, Oracle, Business Development, User Experience, MongoDB, Equipment Knowledge",trade school,3,attention to detail|troubleshooting|problem solving|oracle|business development|user experience|mongodb|equipment knowledge|mobile ui/ux|safety|vehicle mechanics,mechanic,skilled trades
r000650,"Education: Bachelor's in Business Experience: 1 years Skills: Communication, iOS, Executive Support, MySQL, Organization, Discretion, Leadership Support, Wireframing",bachelor's in business,1,communication|ios|executive support|mysql|organization|discretion|leadership support|wireframing|problem solving,executive assistant,administration
r000651,"Education: Oracle Certification Experience: 2 years Skills: SQL, ERP Systems, PL/SQL, Problem Solving, Market Research, SEO, Microservices, Configuration",oracle certification,2,sql|erp systems|pl/sql|problem solving|market research|seo|microservices|configuration|oracle apps,oracle applications developer,technology
r000652,"Education: Master's in Social Work Experience: 2 years Skills: Case Management, Counseling, Empathy, Communication, Crisis Intervention, CloudFormation, Problem Solving, R",master's in social work,2,case management|counseling|empathy|communication|crisis intervention|cloudformation|problem solving|r,social worker,human services & social work
r000653,"Education: Master's in Business Experience: 6 years Skills: Sales, PyTorch, Communication, Tableau, Market Analysis, Negotiation, Networking, Docker",master's in business,6,sales|pytorch|communication|tableau|market analysis|negotiation|networking|docker|business development strategy,business development manager,marketing & sales
r000654,"Education: Trade School Experience: 1 years Skills: Safety, Troubleshooting, Technical Knowledge, Equipment, Network Security, HVAC Systems, Business Development, Serverless",trade school,1,safety|troubleshooting|technical knowledge|equipment|network security|hvac systems|business development|serverless|problem solving,hvac technician,skilled trades
r000655,"Education: License Experience: 5 years Skills: Empathy, Patient Communication, Medical Knowledge, Treatment Planning, User Interface, Python, Wireframing, Problem Solving",license,5,empathy|patient communication|medical knowledge|treatment planning|user interface|python|wireframing|problem solving|redis|psychiatric diagnosis|react,psychiatrist,healthcare
r000656,"Education: Grant Writing Certification Experience: 1 years Skills: Communication, CI/CD, Perl, Organization, Problem Solving, Research, Grant Writing, Fundraising Knowledge",grant writing certification,1,communication|ci/cd|perl|organization|problem solving|research|grant writing|fundraising knowledge,grant writer,non-profit & charity
r000657,"Education: Bachelor's in Biomedical Engineering Experience: 4 years Skills: Problem Solving, CAD, Budget Management, Risk Assessment, Regulatory Knowledge, Biomedical Systems, Swift, Technical Design",bachelor's in biomedical engineering,4,problem solving|cad|budget management|risk assessment|regulatory knowledge|biomedical systems|swift|technical design|ci/cd|strategic planning|medical devices,biomedical engineer,engineering & manufacturing
r000658,"Education: Oracle Certification Experience: 4 years Skills: Scala, PHP, Penetration Testing, Oracle Apps, Problem Solving, Configuration, Adobe Creative Suite, ERP Systems",oracle certification,4,scala|php|penetration testing|oracle apps|problem solving|configuration|adobe creative suite|erp systems|pl/sql|sql,oracle applications developer,technology
r000659,"Education: Animation Certification Experience: 0 years Skills: Animation Software, Marketing, TensorFlow, Technical Skills, Timing, Drawing, Creativity, Storytelling",animation certification,0,animation software|marketing|tensorflow|technical skills|timing|drawing|creativity|storytelling,animator,creative & design
r000660,"Education: Bachelor's in IT Experience: 3 years Skills: Excel, SQL, Power BI, Terraform, Tableau, Data Analysis, GraphQL, Reporting",bachelor's in it,3,excel|sql|power bi|terraform|tableau|data analysis|graphql|reporting,bi analyst,data & analytics
r000661,"Education: Bachelor's in Accounting Experience: 4 years Skills: Financial Analysis, Accounting Principles, Problem Solving, QuickBooks, Graphic Design, GAAP, Excel, Tax Knowledge",bachelor's in accounting,4,financial analysis|accounting principles|problem solving|quickbooks|graphic design|gaap|excel|tax knowledge|react native,accountant,finance & accounting
r000662,"Education: Certification Experience: 2 years Skills: AWS, Technical Skills, Jira, Equipment Knowledge, Marketing, Problem Solving, Sound Design, Compliance",certification,2,aws|technical skills|jira|equipment knowledge|marketing|problem solving|sound design|compliance|wireframing|precision|audio engineering,sound engineer,entertainment & media
r000663,"Education: Bachelor's in Business Experience: 3 years Skills: Communication, Data Analysis, REST API, Statistics, Marketing, Regulations, Compliance, Risk Management",bachelor's in business,3,communication|data analysis|rest api|statistics|marketing|regulations|compliance|risk management|auditing|documentation,compliance officer,technology
r000664,"Education: Security Certification Experience: 5 years Skills: Problem Solving, Penetration Testing, Encryption, Firewalls, Security Protocols, Networking, CI/CD, Risk Analysis",security certification,5,problem solving|penetration testing|encryption|firewalls|security protocols|networking|ci/cd|risk analysis,cybersecurity specialist,technology
r000665,"Education: Trade School Experience: 3 years Skills: Plumbing Systems, Ruby, Problem Solving, Technical Knowledge, Safety, Azure, Code Knowledge, Customer Service",trade school,3,plumbing systems|ruby|problem solving|technical knowledge|safety|azure|code knowledge|customer service|aws|kanban,plumber,skilled trades
r000666,"Education: Leadership Experience: 2 years Skills: Problem Solving, Android, Figma, Ruby, Staff Training, Customer Service, Inventory, Supervision",leadership,2,problem solving|android|figma|ruby|staff training|customer service|inventory|supervision|sales|html|user interface,retail supervisor,retail & hospitality
r000667,"Education: Master's in Data Science Experience: 3 years Skills: User Interface, Academic Writing, Adobe Creative Suite, Ruby, Problem Solving, C++, Research, SQL",master's in data science,3,user interface|academic writing|adobe creative suite|ruby|problem solving|c++|research|sql|python|r|statistical analysis,academic data analyst,data & analytics
r000668,"Education: Web Design Certification Experience: 0 years Skills: Responsive Design, Mobile Security, Strategic Planning, Creativity, Firewalls, Web Design, Design Tools, HTML/CSS",web design certification,0,responsive design|mobile security|strategic planning|creativity|firewalls|web design|design tools|html/css|mongodb|machine learning|user experience,web designer,creative & design
r000669,"Education: Bachelor's in Mathematics Experience: 4 years Skills: Web Design, TensorFlow, MySQL, SQL, Statistical Analysis, Python, Tableau, Machine Learning",bachelor's in mathematics,4,web design|tensorflow|mysql|sql|statistical analysis|python|tableau|machine learning|data visualization|excel,data analyst,data & analytics
r000670,"Education: Bachelor's in Engineering Experience: 4 years Skills: Analytics, Cloud Platforms, SQL, Android, dbt, Data Modeling, Python, Terraform",bachelor's in engineering,4,analytics|cloud platforms|sql|android|dbt|data modeling|python|terraform|compliance|confluence,analytics engineer,data & analytics
r000671,"Education: Master's or PhD in Psychology Experience: 5 years Skills: Empathy, Psychological Assessment, Patient Communication, Critical Thinking, Query Optimization, Research, Compliance, Scala",master's or phd in psychology,5,empathy|psychological assessment|patient communication|critical thinking|query optimization|research|compliance|scala|html|counseling,psychologist,healthcare
r000672,"Education: Maritime Training Experience: 1 years Skills: Problem Solving, Maritime Knowledge, Leadership, Technical Skills, Business Acumen, Rust, Marketing, Safety",maritime training,1,problem solving|maritime knowledge|leadership|technical skills|business acumen|rust|marketing|safety|angular|navigation,deck officer,transportation
r000673,"Education: Bachelor's in Computer Science Experience: 4 years Skills: React, Vue.js, CSS, Time Management, HTML, Agile, UI/UX Design, Ruby",bachelor's in computer science,4,react|vue.js|css|time management|html|agile|ui/ux design|ruby|javascript|network security,frontend developer,technology
r000674,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Mobile Design, REST API, PHP, XML, Power BI, Android SDK, Java, Kotlin",bachelor's in computer science,2,mobile design|rest api|php|xml|power bi|android sdk|java|kotlin|scala,mobile developer android,technology
r000675,"Education: Bachelor's in IT Experience: 3 years Skills: JMeter, Analysis, Problem Solving, Adobe Creative Suite, Performance Testing, Load Testing, Machine Learning, Reporting",bachelor's in it,3,jmeter|analysis|problem solving|adobe creative suite|performance testing|load testing|machine learning|reporting|leadership|numpy,performance tester,technology
r000676,"Education: Leadership Experience: 5 years Skills: Perl, Equipment, Farm Management, Sustainability, Crop Knowledge, Leadership, Swift, Business Acumen",leadership,5,perl|equipment|farm management|sustainability|crop knowledge|leadership|swift|business acumen,farm manager,agriculture
r000677,"Education: Bachelor's in Business Experience: 5 years Skills: Data Analysis, Project Management, Business Analysis, Problem Solving, CI/CD, Communication, Database Design, Vue.js",bachelor's in business,5,data analysis|project management|business analysis|problem solving|ci/cd|communication|database design|vue.js|process improvement,business consultant,consulting
r000678,"Education: Bachelor's in Accounting Experience: 7 years Skills: Communication, Internal Controls, Audit Procedures, Compliance, Risk Assessment, Leadership, Scrum, Pandas",bachelor's in accounting,7,communication|internal controls|audit procedures|compliance|risk assessment|leadership|scrum|pandas,audit manager,finance & accounting
r000679,"Education: Bachelor's in Computer Science Experience: 5 years Skills: Adobe Creative Suite, HTML/CSS, Database, JavaScript, Node.js, Statistics, Git, Project Management",bachelor's in computer science,5,adobe creative suite|html/css|database|javascript|node.js|statistics|git|project management|technical writing|react,full stack developer,technology
r000680,"Education: Master's in Finance Experience: 11 years Skills: Strategic Leadership, Critical Thinking, Risk Management, Jira, Financial Strategy, Investor Relations, M&A, Board Communication",master's in finance,11,strategic leadership|critical thinking|risk management|jira|financial strategy|investor relations|m&a|board communication,cfo,finance & accounting
r000681,"Education: Dental License Experience: 4 years Skills: NoSQL, Attention to Detail, Clinical Skills, Diagnosis, Rust, Compassion, Go, Patient Communication",dental license,4,nosql|attention to detail|clinical skills|diagnosis|rust|compassion|go|patient communication|encryption|dental procedures,dentist,healthcare
r000682,"Education: Specialized Training Experience: 3 years Skills: Problem Solving, Unreal Engine, Oracle, 3D Graphics, AWS, AR/VR Platforms, NumPy, Unity",specialized training,3,problem solving|unreal engine|oracle|3d graphics|aws|ar/vr platforms|numpy|unity|c#,ar/vr developer,technology
r000683,"Education: MSW License Experience: 3 years Skills: Perl, Scikit-learn, Counseling, Empathy, Communication, Problem Solving, iOS, Statistics",msw license,3,perl|scikit-learn|counseling|empathy|communication|problem solving|ios|statistics|crisis intervention|case management,social worker,human services & social work
r000684,"Education: Bachelor's in Meteorology Experience: 4 years Skills: Problem Solving, Weather Analysis, Data Analysis, Meteorology, Communication, Research, Terraform, Flutter",bachelor's in meteorology,4,problem solving|weather analysis|data analysis|meteorology|communication|research|terraform|flutter,meteorologist,science & research
r000685,"Education: Bachelor's in Computer Science Experience: 7 years Skills: Mobile UI/UX, Web Accessibility, TypeScript, Code Review, Problem Solving, Architecture, SQL, Communication",bachelor's in computer science,7,mobile ui/ux|web accessibility|typescript|code review|problem solving|architecture|sql|communication|kotlin|leadership|mentoring,technical lead,technology
r000686,"Education: Enterprise Architecture Certification Experience: 6 years Skills: Technical Expertise, Responsive Design, Kubernetes, Communication, Vue.js, Leadership, Enterprise Architecture, Vision",enterprise architecture certification,6,technical expertise|responsive design|kubernetes|communication|vue.js|leadership|enterprise architecture|vision|strategic design,enterprise architect,technology
r000687,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Jira, PHP, E-commerce, JavaScript, Magento, App Testing, MySQL, Problem Solving",bachelor's in computer science,3,jira|php|e-commerce|javascript|magento|app testing|mysql|problem solving,magento developer,technology
r000688,"Education: High School Experience: 3 years Skills: Strategic Planning, Communication, Cash Handling, Customer Service, Friendliness, Adobe Creative Suite, Accuracy, Point of Sale",high school,3,strategic planning|communication|cash handling|customer service|friendliness|adobe creative suite|accuracy|point of sale,cashier,retail & hospitality
r000689,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Memory Management, JavaScript, Performance, Django, Problem Solving, Debugging, System Programming, C++",bachelor's in computer science,4,memory management|javascript|performance|django|problem solving|debugging|system programming|c++|c#,c++ developer,technology
r000690,"Education: Cloud Certification Experience: 5 years Skills: Azure, Security, Networking, Kanban, JavaScript, Rust, AWS, GCP",cloud certification,5,azure|security|networking|kanban|javascript|rust|aws|gcp|system design,cloud architect,technology
r000691,"Education: Security Certification Experience: 0 years Skills: SIEM, Problem Solving, Security Protocols, Communication, Tableau, Log Analysis, Threat Detection, Java",security certification,0,siem|problem solving|security protocols|communication|tableau|log analysis|threat detection|java|incident response,soc analyst,technology
r000692,"Education: Doctor of Pharmacy Experience: 2 years Skills: Business Development, Power BI, Accuracy, Time Management, Communication, Drug Interactions, HTML, Pharmacy Knowledge",doctor of pharmacy,2,business development|power bi|accuracy|time management|communication|drug interactions|html|pharmacy knowledge|patient counseling|perl|attention to detail,pharmacist,healthcare
r000693,"Education: High School Experience: 3 years Skills: Rust, Customer Service, React, Microservices, Networking, Power BI, Troubleshooting, Problem Solving",high school,3,rust|customer service|react|microservices|networking|power bi|troubleshooting|problem solving|hardware installation|documentation,it field technician,technology
r000694,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Manual Testing, API Testing, Swift, Selenium, Documentation, Node.js, Test Automation, Problem Solving",bachelor's in computer science,4,manual testing|api testing|swift|selenium|documentation|node.js|test automation|problem solving,software test engineer,technology
r000695,"Education: Social Media Certification Experience: 2 years Skills: Content Creation, Machine Learning, Photography/Videography, Sales, Social Media, Analytics, Creativity, Communication",social media certification,2,content creation|machine learning|photography/videography|sales|social media|analytics|creativity|communication,social media content creator,media production
r000696,"Education: High School Experience: 0 years Skills: Content Creation, Creativity, Communication, Technical Skills, Video Production, Database Design, R, Social Media",high school,0,content creation|creativity|communication|technical skills|video production|database design|r|social media|kubernetes,content creator,media production
r000697,"Education: Certification Experience: 2 years Skills: Technical Skills, Storytelling, Time Management, Creativity, Lighting, Editing, Machine Learning, Video Shooting",certification,2,technical skills|storytelling|time management|creativity|lighting|editing|machine learning|video shooting,videographer,media production
r000698,"Education: Bachelor's in IT Experience: 3 years Skills: Machine Learning, Database Design, Administration, Salesforce, User Management, Presentation Skills, Support, Configuration",bachelor's in it,3,machine learning|database design|administration|salesforce|user management|presentation skills|support|configuration|data management,salesforce administrator,technology
r000699,"Education: Culinary School Experience: 6 years Skills: Culinary Skills, Food Safety, Recipe Development, Leadership, Creativity, Network Security, Kitchen Management, Cassandra",culinary school,6,culinary skills|food safety|recipe development|leadership|creativity|network security|kitchen management|cassandra,head chef,hospitality & food service
r000700,"Education: High School Experience: 1 years Skills: Fitness Knowledge, C++, Communication, Training Program Design, Data Analysis, Problem Solving, Anatomy, Motivation",high school,1,fitness knowledge|c++|communication|training program design|data analysis|problem solving|anatomy|motivation,personal trainer,sports & recreation
r000701,"Education: High School Experience: 5 years Skills: Security Architecture, Inventory, Staff Training, Problem Solving, Sales, Network Security, Supervision, Documentation",high school,5,security architecture|inventory|staff training|problem solving|sales|network security|supervision|documentation|customer service|oracle,retail supervisor,retail & hospitality
r000702,"Education: Bachelor's in IT Experience: 5 years Skills: Load Testing, Web Accessibility, Scala, Swift, Reporting, Azure, Analysis, Agile",bachelor's in it,5,load testing|web accessibility|scala|swift|reporting|azure|analysis|agile|performance testing|problem solving|jmeter,performance tester,technology
r000703,"Education: Diploma in IT Experience: 4 years Skills: React, Terraform, Strategic Planning, Flask, Node.js, JavaScript, Database, Git",diploma in it,4,react|terraform|strategic planning|flask|node.js|javascript|database|git|adobe creative suite|html/css,full stack developer,technology
r000704,"Education: Bachelor's in IT Experience: 3 years Skills: Performance Tuning, Communication, Informatica, SQL, Data Integration, AWS, Ansible, Data Quality",bachelor's in it,3,performance tuning|communication|informatica|sql|data integration|aws|ansible|data quality|flask|etl|project management,informatica developer,data & analytics
r000705,"Education: Training Experience: 5 years Skills: Risk Assessment, Responsibility, Confluence, Flying, Technical Knowledge, Problem Solving, Decision Making, Safety",training,5,risk assessment|responsibility|confluence|flying|technical knowledge|problem solving|decision making|safety|navigation,pilot,transportation & logistics
r000706,"Education: License Experience: 0 years Skills: Anatomy, Web Design, Communication, Empathy, Wireframing, Massage Therapy, Customer Service, Security Architecture",license,0,anatomy|web design|communication|empathy|wireframing|massage therapy|customer service|security architecture|problem solving|shell scripting,massage therapist,beauty & wellness
r000707,"Education: Bachelor's in Finance Experience: 4 years Skills: Compliance, Excel, Benefits Administration, Power BI, Adaptability, Market Analysis, Azure, Communication",bachelor's in finance,4,compliance|excel|benefits administration|power bi|adaptability|market analysis|azure|communication|compensation strategy,compensation & benefits manager,human resources
r000708,"Education: Bachelor's in Mechanical Engineering Experience: 5 years Skills: Deep Learning, Cassandra, Materials, Vehicle Systems, CAD, MongoDB, Testing, Project Management",bachelor's in mechanical engineering,5,deep learning|cassandra|materials|vehicle systems|cad|mongodb|testing|project management|problem solving|thermal systems,automotive engineer,engineering & manufacturing
